orderNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber
10140,2003-07-24,2003-08-02,2003-07-30,Shipped,null,161
10141,2003-08-01,2003-08-09,2003-08-04,Shipped,null,334
10142,2003-08-08,2003-08-16,2003-08-13,Shipped,null,124
10143,2003-08-10,2003-08-18,2003-08-12,Shipped,Can we deliver the new Ford Mustang models by end-of-quarter?,320
10144,2003-08-13,2003-08-21,2003-08-14,Shipped,null,381
10145,2003-08-25,2003-09-02,2003-08-31,Shipped,null,205
10146,2003-09-03,2003-09-13,2003-09-06,Shipped,null,447
10147,2003-09-05,2003-09-12,2003-09-09,Shipped,null,379
10148,2003-09-11,2003-09-21,2003-09-15,Shipped,They want to reevaluate their terms agreement with Finance.,276
10149,2003-09-12,2003-09-18,2003-09-17,Shipped,null,487
10150,2003-09-19,2003-09-27,2003-09-21,Shipped,They want to reevaluate their terms agreement with Finance.,148
10151,2003-09-21,2003-09-30,2003-09-24,Shipped,null,311
10152,2003-09-25,2003-10-03,2003-10-01,Shipped,null,333
10153,2003-09-28,2003-10-05,2003-10-03,Shipped,null,141
10154,2003-10-02,2003-10-12,2003-10-08,Shipped,null,219
10155,2003-10-06,2003-10-13,2003-10-07,Shipped,null,186
10156,2003-10-08,2003-10-17,2003-10-11,Shipped,null,141
10157,2003-10-09,2003-10-15,2003-10-14,Shipped,null,473
10158,2003-10-10,2003-10-18,2003-10-15,Shipped,null,121
10159,2003-10-10,2003-10-19,2003-10-16,Shipped,null,321
10160,2003-10-11,2003-10-17,2003-10-17,Shipped,null,347
10161,2003-10-17,2003-10-25,2003-10-20,Shipped,null,227
10162,2003-10-18,2003-10-26,2003-10-19,Shipped,null,321
10163,2003-10-20,2003-10-27,2003-10-24,Shipped,null,424
10164,2003-10-21,2003-10-30,2003-10-23,Resolved,"This order was disputed, but resolved on 11/1/2003; Customer doesn't like the colors and precision of the models.",452
10165,2003-10-22,2003-10-31,2003-12-26,Shipped,This order was on hold because customers's credit limit had been exceeded. Order will ship when payment is received,148
10166,2003-10-21,2003-10-30,2003-10-27,Shipped,null,462
10167,2003-10-23,2003-10-30,null,Cancelled,Customer called to cancel. The warehouse was notified in time and the order didn't ship. They have a new VP of Sales and are shifting their sales model. Our VP of Sales should contact them.,448
10168,2003-10-28,2003-11-03,2003-11-01,Shipped,null,161
10169,2003-11-04,2003-11-14,2003-11-09,Shipped,null,276
10170,2003-11-04,2003-11-12,2003-11-07,Shipped,null,452
10171,2003-11-05,2003-11-13,2003-11-07,Shipped,null,233
10172,2003-11-05,2003-11-14,2003-11-11,Shipped,null,175
10173,2003-11-05,2003-11-15,2003-11-09,Shipped,"Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches",278
10174,2003-11-06,2003-11-15,2003-11-10,Shipped,null,333
10175,2003-11-06,2003-11-14,2003-11-09,Shipped,null,324
10176,2003-11-06,2003-11-15,2003-11-12,Shipped,null,386
10177,2003-11-07,2003-11-17,2003-11-12,Shipped,null,344
10178,2003-11-08,2003-11-16,2003-11-10,Shipped,Custom shipping instructions sent to warehouse,242
10179,2003-11-11,2003-11-17,2003-11-13,Cancelled,Customer cancelled due to urgent budgeting issues. Must be cautious when dealing with them in the future. Since order shipped already we must discuss who would cover the shipping charges.,496
10180,2003-11-11,2003-11-19,2003-11-14,Shipped,null,171
10303,2004-10-06,2004-10-14,2004-10-09,Shipped,Customer inquired about remote controlled models and gold models.,484
10304,2004-10-11,2004-10-20,2004-10-17,Shipped,null,256
10305,2004-10-13,2004-10-22,2004-10-15,Shipped,Check on availability.,286
10306,2004-10-14,2004-10-21,2004-10-17,Shipped,null,187
10307,2004-10-14,2004-10-23,2004-10-20,Shipped,null,339
10308,2004-10-15,2004-10-24,2004-10-20,Shipped,Customer requested that FedEx Ground is used for this shipping,319
10309,2004-10-15,2004-10-24,2004-10-18,Shipped,null,121
10310,2004-10-16,2004-10-24,2004-10-18,Shipped,null,259
10311,2004-10-16,2004-10-23,2004-10-20,Shipped,Difficult to negotiate with customer. We need more marketing materials,141
10312,2004-10-21,2004-10-27,2004-10-23,Shipped,null,124
10313,2004-10-22,2004-10-28,2004-10-25,Shipped,Customer requested that FedEx Ground is used for this shipping,202
10314,2004-10-22,2004-11-01,2004-10-23,Shipped,null,227
10315,2004-10-29,2004-11-08,2004-10-30,Shipped,null,119
10316,2004-11-01,2004-11-09,2004-11-07,Shipped,"Customer requested that ad materials (such as posters, pamphlets) be included in the shippment",240
10317,2004-11-02,2004-11-12,2004-11-08,Shipped,null,161
10318,2004-11-02,2004-11-09,2004-11-07,Shipped,null,157
10319,2004-11-03,2004-11-11,2004-11-06,Shipped,Customer requested that DHL is used for this shipping,456
10320,2004-11-03,2004-11-13,2004-11-07,Shipped,null,144
10321,2004-11-04,2004-11-12,2004-11-07,Shipped,null,462
10322,2004-11-04,2004-11-12,2004-11-10,Shipped,Customer has worked with some of our vendors in the past and is aware of their MSRP,363
10323,2004-11-05,2004-11-12,2004-11-09,Shipped,null,128
10324,2004-11-05,2004-11-11,2004-11-08,Shipped,null,181
10325,2004-11-05,2004-11-13,2004-11-08,Shipped,null,121
10326,2004-11-09,2004-11-16,2004-11-10,Shipped,null,144
10327,2004-11-10,2004-11-19,2004-11-13,Resolved,Order was disputed and resolved on 12/1/04. The Sales Manager was involved. Customer claims the scales of the models don't match what was discussed.,145
10328,2004-11-12,2004-11-21,2004-11-18,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,278
10329,2004-11-15,2004-11-24,2004-11-16,Shipped,null,131
10330,2004-11-16,2004-11-25,2004-11-21,Shipped,null,385
10331,2004-11-17,2004-11-23,2004-11-23,Shipped,Customer requested special shippment. The instructions were passed along to the warehouse,486
10332,2004-11-17,2004-11-25,2004-11-18,Shipped,null,187
10333,2004-11-18,2004-11-27,2004-11-20,Shipped,null,129
10334,2004-11-19,2004-11-28,null,On Hold,The outstaniding balance for this customer exceeds their credit limit. Order will be shipped when a payment is received.,144
10335,2004-11-19,2004-11-29,2004-11-23,Shipped,null,124
10336,2004-11-20,2004-11-26,2004-11-24,Shipped,Customer requested that DHL is used for this shipping,172
10337,2004-11-21,2004-11-30,2004-11-26,Shipped,null,424
10338,2004-11-22,2004-12-02,2004-11-27,Shipped,null,381
10339,2004-11-23,2004-11-30,2004-11-30,Shipped,null,398
10340,2004-11-24,2004-12-01,2004-11-25,Shipped,Customer is interested in buying more Ferrari models,216
10341,2004-11-24,2004-12-01,2004-11-29,Shipped,null,382
10342,2004-11-24,2004-12-01,2004-11-29,Shipped,null,114
10343,2004-11-24,2004-12-01,2004-11-26,Shipped,null,353
10385,2005-02-28,2005-03-09,2005-03-01,Shipped,null,124
10386,2005-03-01,2005-03-09,2005-03-06,Resolved,Disputed then Resolved on 3/15/2005. Customer doesn't like the craftsmaship of the models.,141
10387,2005-03-02,2005-03-09,2005-03-06,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,148
10388,2005-03-03,2005-03-11,2005-03-09,Shipped,null,462
10389,2005-03-03,2005-03-09,2005-03-08,Shipped,null,448
10390,2005-03-04,2005-03-11,2005-03-07,Shipped,They want to reevaluate their terms agreement with Finance.,124
10391,2005-03-09,2005-03-20,2005-03-15,Shipped,null,276
10392,2005-03-10,2005-03-18,2005-03-12,Shipped,null,452
10393,2005-03-11,2005-03-22,2005-03-14,Shipped,They want to reevaluate their terms agreement with Finance.,323
