PROD_ID,TIME_ID,PROMO_ID,CHANNEL_ID,UNIT_COST,UNIT_PRICE
13,10-03-98,999,3,798.69,1232.99
14,14-01-98,999,3,875.22,1124.52
14,18-01-98,999,3,875.22,1124.52
14,18-01-98,999,4,846.71,1124.52
14,23-01-98,999,2,886.45,1176.23
14,24-01-98,999,3,875.22,1108.99
14,24-01-98,999,4,846.71,1108.99
14,28-01-98,999,4,846.71,1124.52
14,02-02-98,999,4,863.64,1108.99
14,05-02-98,999,2,898.9,1259.99
14,05-03-98,999,4,875.1,1259.99
14,17-03-98,999,2,904.18,1159.99
14,21-03-98,999,3,903.41,1264.4
14,23-03-98,999,3,892.72,1176.23
14,30-03-98,999,2,904.18,1176.23
15,14-01-98,999,2,886.45,1013.99
15,20-01-98,999,4,846.71,1013.99
15,21-01-98,999,2,886.45,999.99
15,24-01-98,999,2,886.45,999.99
15,02-02-98,999,3,892.72,1013.99
15,10-02-98,999,4,863.64,999.99
15,17-02-98,999,4,863.64,1013.99
15,05-03-98,999,2,898.9,1013.99
15,05-03-98,999,3,887.44,1013.99
17,22-01-98,999,3,957.04,1495.99
17,05-02-98,999,4,962.61,1495.99
17,25-02-98,999,3,993.76,1556.42
18,08-01-98,999,3,1149.17,1639.32
18,10-01-98,999,4,1100.73,1552.83
18,05-02-98,999,2,1168.56,1728.99
18,03-03-98,999,2,1175.44,1552.83
18,03-03-98,999,3,1155.97,1674.39
18,17-03-98,999,2,1175.44,1552.83
18,24-03-98,999,4,1134.2,1674.39
19,19-02-98,999,3,50.57,62.37
19,25-02-98,999,2,50.33,63.02
19,26-02-98,999,3,49.68,62.15
19,14-03-98,999,2,50.33,63.02
20,30-01-98,999,2,528.76,608.39
21,02-01-98,999,3,798.73,1057.2
21,24-01-98,999,2,797.81,1067.73
21,26-01-98,999,4,762.04,1075.95
21,02-02-98,999,4,777.28,1075.95
21,03-02-98,999,4,777.28,1067.73
21,12-02-98,999,2,813.77,1067.73
21,14-02-98,999,3,803.45,1061.09
21,23-02-98,999,3,803.45,1052.99
22,10-01-98,999,2,22.16,26.56
22,14-01-98,999,4,21.16,26.56
22,25-01-98,999,2,22.16,26.61
22,26-01-98,999,2,22.16,26.24
22,28-01-98,999,3,21.87,26.56
22,07-02-98,999,2,22.6,26.61
22,17-02-98,999,4,21.92,26.32
22,20-02-98,999,3,22.62,26.29
22,23-02-98,999,3,22.31,26.61
22,12-03-98,999,2,23.01,26.33
23,21-01-98,999,3,19.13,23.75
23,23-01-98,999,3,19.13,23.75
23,26-01-98,999,3,19.48,23.83
23,10-02-98,999,2,19.77,24.08
23,19-02-98,999,3,19.87,23.83
