TIME_ID,DAY_NAME,DAY_NUMBER_IN_WEEK,DAY_NUMBER_IN_MONTH,CALENDAR_WEEK_NUMBER,FISCAL_WEEK_NUMBER,WEEK_ENDING_DAY,WEEK_ENDING_DAY_ID,CALENDAR_MONTH_NUMBER,FISCAL_MONTH_NUMBER,CALENDAR_MONTH_DESC,CALENDAR_MONTH_ID,FISCAL_MONTH_DESC,FISCAL_MONTH_ID,DAYS_IN_CAL_MONTH,DAYS_IN_FIS_MONTH,END_OF_CAL_MONTH,END_OF_FIS_MONTH,CALENDAR_MONTH_NAME,FISCAL_MONTH_NAME,CALENDAR_QUARTER_DESC,CALENDAR_QUARTER_ID,FISCAL_QUARTER_DESC,FISCAL_QUARTER_ID,DAYS_IN_CAL_QUARTER,DAYS_IN_FIS_QUARTER,END_OF_CAL_QUARTER,END_OF_FIS_QUARTER,CALENDAR_QUARTER_NUMBER,FISCAL_QUARTER_NUMBER,CALENDAR_YEAR,CALENDAR_YEAR_ID,FISCAL_YEAR,FISCAL_YEAR_ID,DAYS_IN_CAL_YEAR,DAYS_IN_FIS_YEAR,END_OF_CAL_YEAR,END_OF_FIS_YEAR
01-01-98,Thursday,4,1,1,1,04-01-98,1484,1,1,1998-01,1672,1998-01,1720,31,25,31-01-98,25-01-98,January,January,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
02-01-98,Friday,5,2,1,1,04-01-98,1484,1,1,1998-01,1672,1998-01,1720,31,25,31-01-98,25-01-98,January,January,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
03-01-98,Saturday,6,3,1,1,04-01-98,1484,1,1,1998-01,1672,1998-01,1720,31,25,31-01-98,25-01-98,January,January,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
04-01-98,Sunday,7,4,1,1,04-01-98,1484,1,1,1998-01,1672,1998-01,1720,31,25,31-01-98,25-01-98,January,January,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
05-01-98,Monday,1,5,2,2,11-01-98,1533,1,1,1998-01,1672,1998-01,1720,31,25,31-01-98,25-01-98,January,January,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
06-01-98,Tuesday,2,6,2,2,11-01-98,1533,1,1,1998-01,1672,1998-01,1720,31,25,31-01-98,25-01-98,January,January,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
07-01-98,Wednesday,3,7,2,2,11-01-98,1533,1,1,1998-01,1672,1998-01,1720,31,25,31-01-98,25-01-98,January,January,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
08-01-98,Thursday,4,8,2,2,11-01-98,1533,1,1,1998-01,1672,1998-01,1720,31,25,31-01-98,25-01-98,January,January,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
09-01-98,Friday,5,9,2,2,11-01-98,1533,1,1,1998-01,1672,1998-01,1720,31,25,31-01-98,25-01-98,January,January,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
10-01-98,Saturday,6,10,2,2,11-01-98,1533,1,1,1998-01,1672,1998-01,1720,31,25,31-01-98,25-01-98,January,January,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
