IngredientName,IngredientShortDescription,IngredientId,PortionUOMTypeId
Bread                                              ,Bread Stick 12 inch/30cm                    ,1,11
Bacon                                              ,Bacon                                       ,2,11
Chicken Strips                                     ,Chicken Strips                              ,3,15
Chicken. oven roasted patty                        ,"Chicken, single piece                       ",4,15
Cold Cut Combo                                     ,Cold Cut Combo                              ,5,15
Salami                                             ,Salami                                      ,6,15
Ham                                                ,Ham                                         ,7,15
Meatballs                                          ,Meatballs                                   ,8,15
Pepperoni                                          ,Pepperoni                                   ,9,15
Roast Beef                                         ,Roast Beef                                  ,10,15
"Steak, Shaved                                      ","Steak, Philly style                         ",11,15
Tuna                                               ,Tuna                                        ,12,15
Turkey                                             ,Turkey                                      ,13,15
"Cheese, Sliced cheese                              ","Cheese, Sliced cheese                       ",14,15
Cookies                                            ,Cookies                                     ,15,11
Flatbread                                          ,Flatbread                                   ,16,11
Olives                                             ,Olives                                      ,17,15
Pickles                                            ,Pickles                                     ,18,15
Jalapeno Peppers                                   ,Jalapeno Peppers                            ,19,15
Banana Peppers                                     ,Banana Peppers                              ,20,15
Apples                                             ,Apple slices                                ,21,11
Chips                                              ,Chips                                       ,22,11
"Yogurt, cup single serve                           ","Yogurt, cup single serve                    ",23,11
DELETE Cucumbers                                   ,DELETE Cucumbers                            ,24,11
Green Peppers                                      ,Green Peppers                               ,25,15
Onions                                             ,Onions                                      ,26,15
Lettuce                                            ,Lettuce                                     ,27,15
Tomatoes                                           ,Tomatoes                                    ,28,15
Bottled Beverages                                  ,Bottled Beverages                           ,29,11
"Cheese, Shredded Monterey Cheddar                  ","Cheese, Shredded Montere                    ",30,15
Parmesan Cheese                                    ,"Parmesan Cheese, grated                     ",31,15
Oregano                                            ,Oregano                                     ,32,11
Mayonnaise                                         ,Mayonnaise                                  ,33,15
DELETE Mustard                                     ,DELETE Mustard                              ,34,12
Ranch Dressing                                     ,Ranch Dressing                              ,35,15
Buffalo Sauce                                      ,Buffalo Sauce                               ,36,15
Chipotle Southwest Sauce                           ,Chipotle Southwest Sauce                    ,37,15
Honey Mustard Sauce                                ,"Honey Mustard Sauce, fat                    ",38,15
Sweet Onion Sauce                                  ,"Sweet Onion Sauce, fat f                    ",39,15
Teriyaki Glaze                                     ,"Teriyaki Glaze, fat free                    ",40,15
DELETE Olive Oil Blend                             ,DELETE Olive Oil Blend                      ,41,0
Salt and Pepper                                    ,Salt & Pepper Blend                         ,42,15
Vinegar                                            ,"Vinegar, Red Wine                           ",43,15
"Milk, bottle                                       ","Milk, bottle                                ",44,11
"Cold Cup, 21 oz.                                   ","Cold Cup, 21 oz.                            ",45,11
"Cold Cup & Lid, 32 oz.                             ","Cold Cup & Lid, 32 oz.                      ",46,11
Avocado                                            ,Avocado                                     ,47,15
Bagels                                             ,Bagels                                      ,48,0
Biscuits                                           ,Biscuits                                    ,49,11
BBQ Rib Patty                                      ,BBQ Rib Patty                               ,50,11
BBQ Sauce                                          ,BBQ Sauce                                   ,51,15
Bologna                                            ,Bologna                                     ,52,15
Brownie                                            ,Brownie                                     ,53,11
Burger Patty                                       ,Burger Patty                                ,54,11
Cinnamon Rolls                                     ,Cinnamon Rolls                              ,55,0
"Carrots, Shredded                                  ","Carrots, Shredded                           ",56,15
BBQ Chicken                                        ,BBQ Chicken                                 ,57,15
Croissant                                          ,Croissant                                   ,58,11
Chicken Fritters                                   ,Chicken Fritters (Breade                    ,59,15
Chicken Salad                                      ,Chicken Salad                               ,60,15
Deli Rolls                                         ,Deli Rolls                                  ,61,11
Cinnamon Roll                                      ,Cinnamon Roll                               ,62,11
Corned Beef                                        ,Corned Beef                                 ,63,15
Crackers                                           ,Crackers                                    ,64,0
"Hot Drink Cups, 12 oz.                             ","Hot Drink Cups, 12 oz.                      ",65,0
"Egg, breakfast precooked                           ","Egg, breakfast precooked                    ",66,11
"Egg, liquid                                        ","Egg, liquid                                 ",67,15
"Cup, Hot Cup, 16 oz.                               ","Cup, Hot Cup, 16 oz                         ",68,11
English Muffin                                     ,English Muffin                              ,69,11
Gravy                                              ,"Gravy, breakfast                            ",70,15
Hash Browns                                        ,Hash Browns                                 ,71,15
Muffin Batter                                      ,"Muffin Batter, baked goo                    ",72,15
Pastry Bites                                       ,Pastry Bites                                ,73,11
Sausage Patties                                    ,"Sausage Patties, breakfa                    ",74,15
Fruit cup                                          ,Fruit cup                                   ,75,0
Croutons                                           ,Croutons                                    ,76,11
Crushed Red Pepper                                 ,Crushed Red Pepper                          ,77,0
