MenuItemName,MenuItemDescription,PLU,MenuItemId,RecipeId
FtL/Ham                     ,Ham FtLong                                ,111000004,1,6
Six/Ham                     ,Ham 6 inch                                ,121000004,2,7
FfB/Ham                     ,Ham FtFbd                                 ,112000004,3,2
fBd/Ham                     ,Ham FlatBd                                ,122000004,4,8
Sld/Ham                     ,Ham Salad                                 ,131000004,5,9
Mni/Ham                     ,Ham Mini                                  ,161000004,6,98
FtL/B.M.T.                  ,B.M.T. FtLong                             ,111000008,7,45
Six/B.M.T.                  ,B.M.T. 6 inch                             ,121000008,8,47
FfB/B.M.T.                  ,B.M.T. FtFbd                              ,112000008,9,46
fBd/B.M.T.                  ,B.M.T. FlatBd                             ,122000008,10,48
Sld/B.M.T.                  ,B.M.T. Salad                              ,131000008,11,49
FtL/Turkey                  ,Turkey FtLong                             ,111000012,12,10
Six/Turkey                  ,Turkey 6 inch                             ,121000012,13,12
FfB/Turkey                  ,Turkey FtFbd                              ,112000012,14,11
fBd/Turkey                  ,Turkey FlatBd                             ,122000012,15,13
Sld/Turkey                  ,Turkey Salad                              ,131000012,16,14
Mni/Turkey                  ,Turkey Mini                               ,161000012,17,99
FtL/TrkyHm                  ,Turkey & Ham FtLong                       ,111000011,18,35
Six/TrkyHm                  ,Turkey & Ham 6 inch                       ,121000011,19,37
FfB/TrkyHm                  ,Turkey & Ham FtFbd                        ,112000011,20,36
fBd/TrkyHm                  ,Turkey & Ham FlatBd                       ,122000011,21,38
Sld/TrkyHm                  ,Turkey & Ham Salad                        ,131000011,22,39
FtL/BLT                     ,BLT FtLong                                ,111000007,23,60
Six/BLT                     ,BLT 6 inch                                ,121000007,24,62
FfB/BLT                     ,BLT FtFbd                                 ,112000007,25,61
fBd/BLT                     ,BLT FlatBd                                ,122000007,26,63
Sld/BLT                     ,BLT Salad                                 ,131000007,27,64
FtL/BqRib                   ,BBQ Rib FtLong                            ,111000074,28,161
Six/BqRib                   ,BBQ Rib 6 inch                            ,121000074,29,163
FfB/BqRib                   ,BBQ Rib FtFbd                             ,112000074,30,162
fBd/BqRib                   ,BBQ Rib FlatBd                            ,122000074,31,164
Sld/BqRib                   ,BBQ Rib Salad                             ,131000074,32,165
FtL/ChxTry                  ,Chicken Teriyaki FtLong                   ,111000018,33,65
Six/ChxTry                  ,Chicken Teriyaki 6 inch                   ,121000018,34,67
FfB/ChxTry                  ,Chicken Teriyaki FtFbd                    ,112000018,35,66
fBd/ChxTry                  ,Chicken Teriyaki FlatBd                   ,122000018,36,68
Sld/ChxTry                  ,Chicken Teriyaki Salad                    ,131000018,37,69
FtL/ChBcRn                  ,Chicken Bcn Ranch FtLong                  ,111000021,38,102
Six/ChBcRn                  ,Chicken Bcn Ranch 6 inch                  ,121000021,39,104
FfB/ChBcRn                  ,Chicken Bcn Ranch FtFbd                   ,112000021,40,103
fBd/ChBcRn                  ,Chicken Bcn Ranch FlatBd                  ,122000021,41,105
Sld/ChBcRn                  ,Chicken Bcn Ranch Salad                   ,131000021,42,106
FtL/CCTrio                  ,Cold Cut Combo FtLong                     ,111000005,43,107
Six/CCTrio                  ,Cold Cut Combo 6 inch                     ,121000005,44,109
FfB/CCTrio                  ,Cold Cut Combo FtFbd                      ,112000005,45,108
fBd/CCTrio                  ,Cold Cut Combo FlatBd                     ,122000005,46,110
Sld/CCTrio                  ,Cold Cut Combo Salad                      ,131000005,47,111
FtL/Club                    ,Subway Club FtLong                        ,111000017,48,50
Six/Club                    ,Subway Club 6 inch                        ,121000017,49,52
FfB/Club                    ,Subway Club FtFbd                         ,112000017,50,51
fBd/Club                    ,Subway Club FlatBd                        ,122000017,51,53
Sld/Club                    ,Subway Club Salad                         ,131000017,52,54
FtL/Melt                    ,Subway Melt FtLong                        ,111000015,53,55
Six/Melt                    ,Subway Melt 6 inch                        ,121000015,54,57
FfB/Melt                    ,Subway Melt FtFbd                         ,112000015,55,56
fBd/Melt                    ,Subway Melt FlatBd                        ,122000015,56,58
Sld/Melt                    ,Subway Melt Salad                         ,131000015,57,59
