RecipeName,RecipeDescription,RecipeId
FtL/Ham           ,Ham FtLong                                ,1
FfB/Ham           ,Ham FtFbd                                 ,2
Six/Ham           ,Ham 6 inch                                ,3
fBd/Ham           ,Ham FlatBd                                ,4
Sld/Ham           ,Ham Salad                                 ,5
FtL/Ham           ,Ham FtLong                                ,6
Six/Ham           ,Ham 6 inch                                ,7
fBd/Ham           ,Ham FlatBd                                ,8
Sld/Ham           ,Ham Salad                                 ,9
FtL/Turkey        ,Turkey FtLong                             ,10
FfB/Turkey        ,Turkey FtFbd                              ,11
Six/Turkey        ,Turkey 6 inch                             ,12
fBd/Turkey        ,Turkey FlatBd                             ,13
Sld/Turkey        ,Turkey Salad                              ,14
FtL/RstBf         ,Roast Beef FtLong                         ,15
FfB/RstBf         ,Roast Beef FtFbd                          ,16
Six/RstBf         ,Roast Beef 6 inch                         ,17
fBd/RstBf         ,Roast Beef FlatBd                         ,18
Sld/RstBf         ,Roast Beef Salad                          ,19
FtL/Veggie        ,Veggie Delite FtLong                      ,20
FfB/Veggie        ,Veggie Delite FtFbd                       ,21
Six/Veggie        ,Veggie Delite 6 inch                      ,22
fBd/Veggie        ,Veggie Delite FlatBd                      ,23
Sld/Veggie        ,Veggie Delite Salad                       ,24
FtL/Steak         ,Steak & Chse FtLong                       ,25
FfB/Steak         ,Steak & Chse FtFbd                        ,26
Six/Steak         ,Steak & Chse 6 inch                       ,27
fBd/Steak         ,Steak & Chse FlatBd                       ,28
Sld/Steak         ,Steak & Chse Salad                        ,29
FtL/RstChx        ,Rst Chicken FtLong                        ,30
FfB/RstChx        ,Rst Chicken FtFbd                         ,31
Six/RstChx        ,Rst Chicken 6 inch                        ,32
fBd/RstChx        ,Rst Chicken FlatBd                        ,33
Sld/RstChx        ,Rst Chicken Salad                         ,34
FtL/TrkyHm        ,Turkey & Ham FtLong                       ,35
FfB/TrkyHm        ,Turkey & Ham FtFbd                        ,36
Six/TrkyHm        ,Turkey & Ham 6 inch                       ,37
fBd/TrkyHm        ,Turkey & Ham FlatBd                       ,38
Sld/TrkyHm        ,Turkey & Ham Salad                        ,39
FtL/Spicy         ,Spicy Italian FtLong                      ,40
FfB/Spicy         ,Spicy Italian FtFbd                       ,41
Six/Spicy         ,Spicy Italian 6 inch                      ,42
fBd/Spicy         ,Spicy Italian FlatBd                      ,43
Sld/Spicy         ,Spicy Italian Salad                       ,44
FtL/B.M.T.        ,B.M.T. FtLong                             ,45
FfB/B.M.T.        ,B.M.T. FtFbd                              ,46
Six/B.M.T.        ,B.M.T. 6 inch                             ,47
fBd/B.M.T.        ,B.M.T. FlatBd                             ,48
Sld/B.M.T.        ,B.M.T. Salad                              ,49
FtL/Club          ,Subway Club FtLong                        ,50
FfB/Club          ,Subway Club FtFbd                         ,51
Six/Club          ,Subway Club 6 inch                        ,52
fBd/Club          ,Subway Club FlatBd                        ,53
Sld/Club          ,Subway Club Salad                         ,54
FtL/Melt          ,Subway Melt FtLong                        ,55
FfB/Melt          ,Subway Melt FtFbd                         ,56
Six/Melt          ,Subway Melt 6 inch                        ,57
fBd/Melt          ,Subway Melt FlatBd                        ,58
Sld/Melt          ,Subway Melt Salad                         ,59
FtL/BLT           ,BLT FtLong                                ,60
FfB/BLT           ,BLT FtFbd                                 ,61
Six/BLT           ,BLT 6 inch                                ,62
fBd/BLT           ,BLT FlatBd                                ,63
Sld/BLT           ,BLT Salad                                 ,64
FtL/ChxTry        ,Chicken Teriyaki FtLong                   ,65
FfB/ChxTry        ,Chicken Teriyaki FtFbd                    ,66
Six/ChxTry        ,Chicken Teriyaki 6 inch                   ,67
fBd/ChxTry        ,Chicken Teriyaki FlatBd                   ,68
Sld/ChxTry        ,Chicken Teriyaki Salad                    ,69
FtL/Tuna          ,Tuna FtLong                               ,75
FfB/Tuna          ,Tuna FtFbd                                ,76
Six/Tuna          ,Tuna 6 inch                               ,77
fBd/Tuna          ,Tuna FlatBd                               ,78
Sld/Tuna          ,Tuna Salad                                ,79
Mni/Tuna          ,Tuna Mini                                 ,80
FtL/Meatbl        ,Meatball FtLong                           ,93
FfB/Meatbl        ,Meatball FtFbd                            ,94
Six/Meatbl        ,Meatball 6 inch                           ,95
fBd/Meatbl        ,Meatball FlatBd                           ,96
Sld/Meatbl        ,Meatball Salad                            ,97
Mni/Ham           ,Ham Mini                                  ,98
Mni/Turkey        ,Turkey Mini                               ,99
Mni/RstBf         ,Roast Beef Mini                           ,100
Mni/Veggie        ,Veggie Delite Mini                        ,101
FtL/ChBcRn        ,Chicken Bcn Ranch FtLong                  ,102
FfB/ChBcRn        ,Chicken Bcn Ranch FtFbd                   ,103
Six/ChBcRn        ,Chicken Bcn Ranch 6 inch                  ,104
fBd/ChBcRn        ,Chicken Bcn Ranch FlatBd                  ,105
Sld/ChBcRn        ,Chicken Bcn Ranch Salad                   ,106
FtL/CCTrio        ,Cold Cut Combo FtLong                     ,107
FfB/CCTrio        ,Cold Cut Combo FtFbd                      ,108
Six/CCTrio        ,Cold Cut Combo 6 inch                     ,109
fBd/CCTrio        ,Cold Cut Combo FlatBd                     ,110
Sld/CCTrio        ,Cold Cut Combo Salad                      ,111
FtL/Philly        ,Philly Chse Steak FtLong                  ,112
FfB/Philly        ,Philly Chse Steak FtFbd                   ,113
Six/Philly        ,Philly Chse Steak 6 inch                  ,114
fBd/Philly        ,Philly Chse Steak FlatBd                  ,115
Sld/Philly        ,Philly Chse Steak Salad                   ,116
FtL/BufChx        ,Buffalo Chix FtLong                       ,117
FfB/BufChx        ,Buffalo Chix FtFbd                        ,118
Six/BufChx        ,Buffalo Chix 6 inch                       ,119
fBd/BufChx        ,Buffalo Chix FlatBd                       ,120
Sld/BufChx        ,Buffalo Chix Salad                        ,121
FbK/SunOme        ,Sunrise Omlt Ftbk                         ,122
Bkf/SunOme        ,Sunrise Omlt FtbkFb                       ,123
6Bk/SunOme        ,Sunrise Omlt SixBkf                       ,124
6Bf/SunOme        ,Sunrise Omlt 6BkfFb                       ,125
Mlt/SunOme        ,Sunrise Omlt EngMf                        ,126
FbK/EggChs        ,Egg & Cheese Ftbk                         ,127
Bkf/EggChs        ,Egg & Cheese FtbkFb                       ,128
6Bk/EggChs        ,Egg & Cheese SixBkf                       ,129
6Bf/EggChs        ,Egg & Cheese 6BkfFb                       ,130
Mlt/EggChs        ,Egg & Cheese EngMf                        ,131
FbK/BkfBMT        ,Bkfst BMT Ftbk                            ,132
Bkf/BkfBMT        ,Bkfst BMT FtbkFb                          ,133
6Bk/BkfBMT        ,Bkfst BMT SixBkf                          ,134
6Bf/BkfBMT        ,Bkfst BMT 6BkfFb                          ,135
Mlt/BkfBMT        ,Bkfst BMT EngMf                           ,136
FbK/StkEgg        ,"Stk, Egg & Chs Ftbk                       ",137
Bkf/StkEgg        ,"Stk, Egg & Chs FtbkFb                     ",138
6Bk/StkEgg        ,"Stk, Egg & Chs SixBkf                     ",139
6Bf/StkEgg        ,"Stk, Egg & Chs 6BkfFb                     ",140
Mlt/StkEgg        ,"Stk, Egg & Chs EngMf                      ",145
FbK/BcnEgg        ,Bacon Egg & Cheese Ftbk                   ,146
Bkf/BcnEgg        ,Bacon Egg & Cheese FtbkFb                 ,147
6Bk/BcnEgg        ,Bacon Egg & Cheese SixBkf                 ,148
6Bf/BcnEgg        ,Bacon Egg & Cheese 6BkfFb                 ,149
Mlt/BcnEgg        ,Bacon Egg & Cheese EngMf                  ,150
FbK/SsgEgg        ,Sausage & Egg Ftbk                        ,151
Bkf/SsgEgg        ,Sausage & Egg FtbkFb                      ,152
6Bk/SsgEgg        ,Sausage & Egg SixBkf                      ,153
6Bf/SsgEgg        ,Sausage & Egg 6BkfFb                      ,154
Mlt/SsgEgg        ,Sausage & Egg EngMf                       ,155
FbK/Mega          ,Mega Omlet Ftbk                           ,156
Bkf/Mega          ,Mega Omlet FtbkFb                         ,157
6Bk/Mega          ,Mega Omlet SixBkf                         ,158
6Bf/Mega          ,Mega Omlet 6BkfFb                         ,159
Mlt/Mega          ,Mega Omlet EngMf                          ,160
FtL/BqRib         ,BBQ Rib FtLong                            ,161
FfB/BqRib         ,BBQ Rib FtFbd                             ,162
Six/BqRib         ,BBQ Rib 6 inch                            ,163
fBd/BqRib         ,BBQ Rib FlatBd                            ,164
Sld/BqRib         ,BBQ Rib Salad                             ,165
FtL/ChxCBl        ,Chix Cord Bleu FtLong                     ,166
FfB/ChxCBl        ,Chix Cord Bleu FtFbd                      ,167
Six/ChxCBl        ,Chix Cord Bleu 6 inch                     ,168
fBd/ChxCBl        ,Chix Cord Bleu FlatBd                     ,169
Sld/ChxCBl        ,Chix Cord Bleu Salad                      ,170
FtL/ChPar         ,Chicken Parm FtLong                       ,171
FfB/ChPar         ,Chicken Parm FtFbd                        ,172
Six/ChPar         ,Chicken Parm 6 inch                       ,173
fBd/ChPar         ,Chicken Parm FlatBd                       ,174
Sld/ChPar         ,Chicken Parm Salad                        ,175
BsM/EggChs        ,Egg & Cheese BscMlt                       ,176
3Bf/EggChs        ,Egg & Cheese 3BkfFb                       ,177
CrM/EggChs        ,Egg & Cheese CrsMlt                       ,178
CrM/BcnEgg        ,Bacon Egg & Cheese CrsMlt                 ,179
BsM/BcnEgg        ,Bacon Egg & Cheese BscMlt                 ,180
3Bf/BcnEgg        ,Bacon Egg & Cheese 3BkfFb                 ,181
CrM/BkfBMT        ,Bkfst BMT CrsMlt                          ,182
BsM/BkfBMT        ,Bkfst BMT BscMlt                          ,183
3Bf/BkfBMT        ,Bkfst BMT 3BkfFb                          ,184
CrM/StkEgg        ,"Stk, Egg & Chs CrsMlt                     ",185
BsM/StkEgg        ,"Stk, Egg & Chs BscMlt                     ",186
3Bf/StkEgg        ,"Stk, Egg & Chs 3BkfFb                     ",187
CrM/SunOme        ,Sunrise Omlt CrsMlt                       ,188
BsM/SunOme        ,Sunrise Omlt BscMlt                       ,189
3Bf/SunOme        ,Sunrise Omlt 3BkfFb                       ,190
CrM/SsgEgg        ,Sausage & Egg CrsMlt                      ,191
BsM/SsgEgg        ,Sausage & Egg BscMlt                      ,192
3Bf/SsgEgg        ,Sausage & Egg 3BkfFb                      ,193
CrM/Mega          ,Mega Omlet CrsMlt                         ,194
BsM/Mega          ,Mega Omlet BscMlt                         ,195
3Bf/Mega          ,Mega Omlet 3BkfFb                         ,196
Sld/ChxSpn        ,Grld Chickn & Spin Salad                  ,197
FtL/OrChSl        ,Orch Chix Sld FtLong                      ,198
FfB/OrChSl        ,Orch Chix Sld FtFbd                       ,199
Six/OrChSl        ,Orch Chix Sld 6 inch                      ,200
fBd/OrChSl        ,Orch Chix Sld FlatBd                      ,201
Sld/OrChSl        ,Orch Chix Sld Salad                       ,202
FtL/ChxMar        ,Chix Marinar FtLong                       ,203
FfB/ChxMar        ,Chix Marinar FtFbd                        ,204
Six/ChxMar        ,Chix Marinar 6 inch                       ,205
fBd/ChxMar        ,Chix Marinar FlatBd                       ,206
FtL/PizzaS        ,Pizza Sub FtLong                          ,207
FfB/PizzaS        ,Pizza Sub FtFbd                           ,208
Six/PizzaS        ,Pizza Sub 6 inch                          ,209
fBd/PizzaS        ,Pizza Sub FlatBd                          ,210
Sld/PizzaS        ,Pizza Sub Salad                           ,211
FtL/Seafd         ,Seafood Sensation FtLong                  ,212
FfB/Seafd         ,Seafood Sensation FtFbd                   ,213
Six/Seafd         ,Seafood Sensation 6 inch                  ,214
fBd/Seafd         ,Seafood Sensation FlatBd                  ,215
Sld/Seafd         ,Seafood Sensation Salad                   ,216
