date	actual_mean_temp	actual_min_temp	actual_max_temp	average_min_temp	average_max_temp	record_min_temp	record_max_temp	record_min_temp_year	record_max_temp_year	actual_precipitation	average_precipitation	record_precipitation
01-07-2014	83	72	93	68	86	52	102	1988	1901	0	0.13	1.04
02-07-2014	86	75	96	68	86	52	103	1965	1901	0.21	0.13	1.73
03-07-2014	83	74	92	68	87	54	104	1957	1966	0.09	0.12	3.66
04-07-2014	73	68	78	68	87	52	103	1986	1966	0.04	0.13	2.08
05-07-2014	74	64	83	69	87	55	100	1963	1999	0	0.13	4.38
06-07-2014	75	64	86	69	87	52	102	1960	2010	0	0.13	1.36
07-07-2014	84	74	93	69	87	55	103	1968	2010	0	0.13	2.97
08-07-2014	84	72	95	69	87	53	100	1960	1993	0.17	0.14	2.28
09-07-2014	80	71	89	69	87	53	103	1963	1936	0	0.15	1.79
10-07-2014	81	74	87	69	87	53	104	1963	1936	0	0.14	2.99
11-07-2014	80	70	90	69	87	55	100	1963	1988	0	0.14	1.92
12-07-2014	80	70	89	69	87	55	97	1999	1936	0	0.15	4.68
13-07-2014	82	72	91	69	87	57	98	1998	1994	0.05	0.14	2.8
14-07-2014	82	74	90	69	87	52	101	1940	1954	1.18	0.15	2.89
15-07-2014	82	73	91	70	87	56	103	1940	1995	0.81	0.15	2.96
16-07-2014	78	72	83	70	87	55	102	1946	1988	0	0.15	1.89
17-07-2014	75	65	84	70	87	56	102	1946	1988	0	0.15	2.06
18-07-2014	75	65	84	70	87	57	100	1976	2012	0	0.15	3.45
19-07-2014	75	68	81	70	87	58	100	1962	1930	0	0.14	1.93
20-07-2014	76	69	82	70	87	57	99	1890	1930	0	0.14	2.32
21-07-2014	76	66	86	70	87	51	103	1966	1930	0	0.14	3.45
22-07-2014	79	70	88	70	87	56	103	1944	2011	0	0.14	2.98
23-07-2014	83	72	93	70	87	58	101	1950	2011	0.05	0.14	3.05
24-07-2014	77	70	83	70	87	57	98	1985	2011	0	0.14	1.45
25-07-2014	74	63	84	70	87	56	96	1953	1999	0	0.14	1.35
26-07-2014	75	69	81	70	87	56	101	1920	1892	0.22	0.15	1.97
27-07-2014	81	70	91	70	87	53	100	1962	1940	1.25	0.15	2.16
28-07-2014	77	69	84	70	87	53	100	1962	1941	0.23	0.14	8.02
29-07-2014	70	64	76	70	87	59	98	1914	2002	0	0.14	3.53
30-07-2014	71	62	80	69	87	58	98	1981	1954	0	0.14	3.36
31-07-2014	76	65	86	69	87	57	102	1895	1954	0	0.14	3
01-08-2014	77	70	83	69	87	56	99	1964	2002	0.19	0.13	2.01
02-08-2014	73	68	77	69	87	58	99	1947	1955	0.36	0.12	2.86
03-08-2014	72	67	77	69	87	56	98	1959	1975	0.23	0.12	5.63
04-08-2014	78	71	84	69	87	52	98	1965	1995	0	0.12	2.74
05-08-2014	80	69	90	69	87	52	98	1951	1930	0	0.12	1.6
06-08-2014	76	69	82	69	86	53	103	1957	1918	0	0.11	2.74
07-08-2014	75	66	84	69	86	54	106	1964	1918	0	0.12	3.7
08-08-2014	73	63	82	69	86	55	100	1989	2001	0	0.12	4.4
09-08-2014	77	67	86	69	86	54	101	1964	2001	0	0.12	2.36
10-08-2014	78	67	88	69	86	54	98	1964	1949	0	0.12	2.24
11-08-2014	76	66	85	69	86	55	101	1972	1900	0	0.11	2.05
12-08-2014	74	68	79	69	86	53	99	1962	1900	1.08	0.11	3.29
13-08-2014	77	69	85	69	86	51	99	1941	2002	0	0.11	5.21
14-08-2014	71	62	80	68	86	50	99	1964	2002	0.25	0.12	4.84
15-08-2014	69	60	77	68	86	50	98	1964	1988	0	0.11	1.54
16-08-2014	71	61	81	68	86	53	98	1979	1997	0	0.12	2.25
17-08-2014	75	65	84	68	85	50	96	1979	1995	0	0.11	2.76
18-08-2014	73	63	83	68	85	52	97	1961	1995	0	0.11	2.54
19-08-2014	77	66	87	68	85	51	94	1963	2002	0	0.12	3.73
20-08-2014	79	71	86	68	85	52	99	1949	1983	0	0.12	1.87
